,r_av,l_av,r_smooth,l_smooth,r_log,l_log,f_smooth,A
1990-12-01,54.5,65.3921875,58.93664464285714,66.13396607142857,4.076463047335779,4.19168247374922,59.3458922724317,0.966
1991-01-01,53.295,62.72,57.15151964285714,65.18046607142857,4.045705980313497,4.177159823912058,57.77073294608492,0.976
1991-02-01,62.48571428571429,65.71607142857144,55.07684107142857,64.04312678571428,4.008729320571424,4.159556712447428,56.31505879267245,0.983
1991-03-01,59.784375,64.590625,53.08497499999999,62.90552857142856,3.971893931522598,4.141634054461195,54.974797996380595,0.987
1991-04-01,55.196666666666665,63.04666666666667,51.13544166666666,61.650328571428574,3.934477831488039,4.121478559221918,53.464787723053675,0.991
1991-05-01,49.650000000000006,60.946666666666665,49.09744166666666,60.0864619047619,3.8938069288944455,4.095784556678278,52.07019080684734,0.994
1991-06-01,49.291666666666664,63.45833333333333,46.938500000000005,58.30208690476189,3.8488382342241714,4.065637888680827,50.695952969709715,0.995
1991-07-01,50.2578125,63.9515625,44.986062499999996,56.844311904761895,3.806352719574264,4.040316160745064,49.34207421164078,0.997
1991-08-01,44.965,59.905,42.82546249999999,55.4951119047619,3.757132843918358,4.016294943085591,47.92037709907411,0.998
1991-09-01,41.04166666666667,57.59166666666667,40.6192875,54.1326869047619,3.704243015378016,3.9914381975736717,46.60857377108052,0.998
1991-10-01,40.6375,55.1484375,38.420512499999994,52.470061904761906,3.6485914966580006,3.960242757510425,45.317129522155625,0.999
1991-11-01,38.72833333333333,53.985,36.25957916666666,50.81112857142857,3.590703599265606,3.9281153969596074,43.9620292193426,0.999
1991-12-01,32.12,50.43333333333334,34.419312500000004,49.235461904761905,3.538617816731502,3.89661413429,42.71266040049301,0.999
1992-01-01,27.871875,45.8125,33.1449375,48.057649404761904,3.5008899900376322,3.872401319515079,41.48365066071215,1.0
1992-02-01,22.751785714285717,41.807142857142864,31.832994642857134,46.96370654761904,3.4605033192705763,3.8493751022947142,40.19514716765275,1.0
1992-03-01,24.5640625,43.2046875,30.157566071428572,45.7736636904762,3.4064358393338403,3.823708897135569,39.08670841835655,1.0
1992-04-01,23.871666666666666,43.295,28.584257738095236,44.62710535714285,3.352856137546369,3.7983414178584636,37.84163762731037,1.0
1992-05-01,15.25,33.583333333333336,27.196516071428565,43.51011369047619,3.3030888794890454,3.7729934097026567,36.69542147574225,1.0
1992-06-01,12.248333333333335,28.25,25.964782738095234,42.52311369047618,3.256741109770238,3.7500477796373355,35.56956440324283,1.0
1992-07-01,16.6140625,36.715625,24.603516071428565,41.359180357142854,3.2028893624577046,3.7222944127200286,34.46406640981212,1.0
1992-08-01,16.6,39.650000000000006,23.26101607142857,40.17443035714286,3.146778829344886,3.693230732484916,33.307308779526196,1.0
1992-09-01,16.055,32.105,22.102816071428567,39.05329702380952,3.0957050244524944,3.664927303549002,32.2438862161708,1.0
1992-10-01,16.340625000000003,32.384375,21.108149404761903,37.93496369047619,3.0496591936291306,3.6358732116385637,31.20082273188412,1.0
1992-11-01,17.09,33.37,20.11498273809524,36.938892857142854,3.00146494724057,3.609265002939779,30.11066191135184,1.0
1992-12-01,19.27166666666667,33.82333333333334,19.2822244047619,36.166492857142856,2.9591836562183373,3.5881330785075716,29.109673857140468,1.0
1993-01-01,22.640625,35.946875,18.7224244047619,35.66815952380952,2.9297219714652885,3.5742584007256104,28.129044881997817,1.0
1993-02-01,20.496428571428574,35.371428571428574,18.317906547619042,35.2623738095238,2.9078790812983337,3.562816497719054,27.105480871219168,1.0
1993-03-01,20.6,35.965,18.109085119047617,35.01983809523809,2.89641375262077,3.555914703638512,26.228864168918633,1.0
1993-04-01,20.451666666666668,35.92666666666667,17.819189285714284,34.71998392857142,2.880275926378923,3.5473154269052745,25.309312430982096,1.0
1993-05-01,20.503125,35.121874999999996,17.543522619047618,34.34151726190475,2.864684800248773,3.5363550380082565,24.410119772114268,1.0
