,phi,b,mark,ssn_delay,lu_mark,lu_delay,phi_c,b_c
2011-08-01,0.6294422471495227,0.4007416271424821,-12.0,38.05991613837285,-12.0,38.05991613837285,0.6156179084523967,0.39621199773533566
2011-09-01,0.6294422471495227,0.4007416271424821,-12.0,40.6878450556594,-12.0,40.6878450556594,0.6281516676642471,0.3927028739094087
2011-10-01,0.6305528024718412,0.3808011621943777,-12.0,43.24970299006772,-12.0,43.24970299006772,0.6403703050381974,0.38928197593262687
2011-11-01,0.6260679581908903,0.3706228332543677,-12.0,45.73032496381112,-12.0,45.73032496381112,0.6522014920653671,0.3859695538903408
2011-12-01,0.6100610023573628,0.3610664126953175,-12.0,48.113168272352105,-12.0,48.113168272352105,0.6635663292466024,0.3827876975728246
2012-01-01,0.6084116099477129,0.37514154509824976,-11.0,52.897688813459396,-12.0,50.48223930514805,0.6748654803330381,0.3796242316389433
2012-02-01,0.6264586072557019,0.3849099506668592,-11.0,55.33963959467048,-12.0,52.897688813459396,0.6863858309507469,0.3763988356382437
2012-03-01,0.6305433044179364,0.3858502861285965,-11.0,57.758768032747724,-12.0,55.33963959467048,0.698032577899478,0.37313805198016187
2012-04-01,0.6913516961329721,0.3727021308355839,-11.0,60.15388109619311,-12.0,57.758768032747724,0.709570474965852,0.3699077434340694
2012-05-01,0.6832799522877198,0.3743810324313903,-11.0,62.47615933709569,-12.0,60.15388109619311,0.720993832053219,0.3667095030777803
2012-06-01,0.6832799522877198,0.3743810324313903,-11.0,64.75226875655366,-12.0,62.47615933709569,0.7320698075497125,0.3636085204553138
2012-07-01,0.7350493036210122,0.3715347048213125,-11.0,67.0437827584506,-12.0,64.75226875655366,0.7429255834482353,0.3605691879445685
2012-08-01,0.7868186549543041,0.3686883772112347,-11.0,69.33859631608058,-12.0,67.0437827584506,0.7538548306365558,0.3575092853997901
2012-09-01,0.7654464973360545,0.3635323429630436,-11.0,71.6346628063717,-12.0,69.33859631608058,0.7647998148704226,0.35444497689503257
2012-10-01,0.7775771681459113,0.3641920268196732,-11.0,73.98339739430165,-12.0,71.6346628063717,0.7757507748961687,0.35137899532529043
2012-11-01,0.7818116245735898,0.3461965991326889,-10.0,78.82262267259262,-12.0,73.98339739430165,0.7869529324522624,0.3482426850358196
2012-12-01,0.7599867827892712,0.3372814351111794,-10.0,81.18424599411219,-12.0,76.40205660660143,0.7984885915726736,0.34501300305589666
2013-01-01,0.7410233082179544,0.3296822536203933,-10.0,83.46354515050422,-12.0,78.82262267259262,0.8100333453245505,0.3417807748177104
2013-02-01,0.7259069772169328,0.335515973749577,-9.0,87.78869864723472,-12.0,81.18424599411219,0.8212969749708119,0.33862725395537063
2013-03-01,0.7147168247853891,0.32901399526765274,-8.0,91.8449757899494,-12.0,83.46354515050422,0.8321679641402941,0.3355836621277922
2013-04-01,0.7657282423425451,0.3356363629470257,-7.0,95.46005091599152,-12.0,85.66192282733748,0.8426530028629495,0.33264812630206414
2013-05-01,0.8167396598997012,0.3422587306263987,-6.0,98.50058902810663,-12.0,87.78869864723472,0.8527965405548676,0.3298082018075642
2013-06-01,0.8677510774568572,0.34888109830577163,-6.0,99.72933160285831,-12.0,89.85847351869688,0.8626682154281864,0.3270443917714647
2013-07-01,0.8431580378143998,0.3305150567439341,-5.0,101.70494683772087,-12.0,91.8449757899494,0.872142726316929,0.3243917772336606
2013-08-01,0.8623117886449788,0.3333074161414961,-4.0,103.08177507113577,-12.0,93.71241451605137,0.881049370321598,0.32189815052857096
2013-09-01,0.8802563188505713,0.3179340164739932,-3.0,103.60505665651993,-12.0,95.46005091599152,0.8893846238676993,0.31956449816463284
2013-10-01,0.8676994839799775,0.32008577715953984,-2.0,103.45357160685184,-12.0,97.07182149453699,0.8970718730179132,0.3174122700347556
2013-11-01,0.8868936508839509,0.3055413228145649,-1.0,102.81567413767596,-12.0,98.50058902810663,0.903886299434729,0.31550440937658486
2013-12-01,0.8868936508839509,0.3055413228145649,-1.0,102.26675984625679,-12.0,99.72933160285831,0.9097467180571583,0.31386364587775933
2014-01-01,0.8950579454482867,0.2817306268126683,-1.0,101.56717416263471,-12.0,100.78850396845512,0.9147983811013565,0.31244931272763865
