,phi_0,b,mark,ssn_del,phi_c,b_c
2015-02,0.8595315504638215,0.3624038737686425,0.0,85.25427544551748,0.8495391169767508,0.32675679922916845
2015-03,0.9032225191695528,0.36494817069431534,0.0,83.46076972994813,0.8409020418269977,0.32912723986332215
2015-04,0.9291823723040092,0.34750383026363857,0.0,81.4732790895048,0.8313307837752828,0.3317540664929833
2015-05,0.881586707664475,0.3170807027853266,0.0,79.34921878900056,0.8211018403831294,0.33456139451095374
2015-06,0.8538483325970646,0.3384076558525753,0.0,77.17133230170451,0.8106136835319335,0.3374398635234832
2015-07,0.8199167680383719,0.3376710353310109,0.0,74.91800029950811,0.7997621999423561,0.34041804736414616
2015-08,0.7955382869968189,0.33360674693831194,0.0,72.56046024060522,0.7884088764036946,0.34353396090919686
2015-09,0.7875136202950377,0.3489047463788449,0.0,70.14095242849513,0.7767571316575255,0.34673177599430655
2015-10,0.7734641993325492,0.35676725227980777,0.0,67.63462287226284,0.7646872750970998,0.3500443416421877
2015-11,0.747521198510782,0.364996380415301,0.0,65.01132631158787,0.7520541346850292,0.35351150024050054
2015-12,0.7130504156149201,0.36908046204956907,0.0,62.28609793840353,0.7389301161468668,0.35711338007677085
2016-01,0.6832494499961291,0.3613149322330057,0.0,59.429381520493,0.7251728840573142,0.3608890450319948
2016-02,0.6608778817622107,0.35298366834983924,0.0,56.491124644338576,0.7110229735059734,0.3647724803800706
2016-03,0.6509492308567009,0.35930549352573005,0.0,53.558373683423966,0.6968995780659489,0.36864863867009223
2016-04,0.645912456121271,0.3630620384558373,0.0,50.6727599460905,0.6830031837103854,0.3724624966344511
2016-05,0.6303873321001905,0.3654267321833168,0.0,47.84488094643985,0.6693848254178177,0.37620004775070937
2016-06,0.6162290771115154,0.3664809635696271,0.0,45.11159586682113,0.6562220077956439,0.37981257597473983
2016-07,0.6185920928627243,0.3711613434455189,0.0,42.52256277142844,0.6437538716665065,0.3832344492362585
2016-08,0.609817563317224,0.3689371519142551,0.0,40.0304447661371,0.6317524543825248,0.3865282317614919
2016-09,0.5922019223683758,0.3733918667020606,0.0,37.587795138023424,0.6199892644359363,0.3897566329219772
2016-10,0.5704310097187401,0.38114755491441576,0.0,35.22320171716775,0.6086019736694506,0.39288186875445374
2016-11,0.5476081052107383,0.38604647633240735,0.0,32.97076324065393,0.5977547930761792,0.39585887164009254
2016-12,0.5378993639066372,0.3905909623080088,0.0,30.838501472571203,0.5874863534665348,0.3986770393737321
2017-01,0.5297270980376719,0.3917846621212985,0.0,28.90698846902699,0.5781846697197167,0.4012298814802564
2017-02,0.5206283579495524,0.3953116874731324,0.0,27.159501821994535,0.5697692108992702,0.4035394996319063
2017-03,0.5180206087002139,0.40354448896568135,0.0,25.519787350871855,0.5618727559349611,0.4057066774540997
